	hom | growth (relative abundance in pooled culture) | camptothecin [200 uM] | Hoepfner D~Movva NR, 2014
YOR058C	-0.476
YPL145C	-0.845
YBR090C	-0.890
YGR183C	1.057
YPR116W	2.707
YLR072W	-0.053
YGL255W	-0.743
YMR198W	NaN
YHR025W	NaN
YLR356W	0.081
YOR220W	-0.867
YDR023W	NaN
YGR268C	0.877
YOR346W	0.004
YOL095C	0.370
YML031W	NaN
YOL068C	0.034
YMR245W	-0.247
YHR008C	1.491
YOL136C	-1.213
YBR245C	-0.008
YOR208W	-0.406
YDL203C	-1.009
YFR030W	-0.615
YDR271C	-0.051
YNL323W	-3.575
YLL057C	-0.426
YDL099W	0.854
YDL002C	0.009
YOR263C	0.002
YML075C	-0.404
YIR021W	0.918
YHR051W	0.534
YBR067C	-0.643
YBL056W	0.466
YOR314W	-0.008
YBR203W	0.042
YCR036W	0.177
YNR048W	0.951
YML116W	-0.026
YDR364C	NaN
YHL014C	1.986
YKL069W	-0.004
YJR044C	1.100
YPR070W	-0.133
YOR355W	0.865
YOR205C	2.664
YHR048W	-0.022
YCR001W	0.028
YML063W	0.051
YDR335W	-0.349
YNL259C	1.727
YNL245C	NaN
YCL026C	0.015
YLL033W	1.735
YPL045W	NaN
YBR275C	-0.010
YML131W	0.173
YGL017W	-0.179
YER158C	-0.531
YFL047W	-0.161
YDL044C	3.602
YLR312C	0.149
YBL063W	-0.750
YGR122C-A	-0.442
YDL086W	-0.821
YJL007C	0.572
YIL132C	-1.915
YHL008C	0.000
YGR067C	1.206
YBR046C	0.006
YBL019W	-0.101
YBR292C	2.002
YNL170W	0.017
YKL049C	NaN
YMR173W	-0.249
YDR058C	0.455
YOR047C	-0.313
YNL095C	0.023
YLR047C	-0.025
YOR266W	-0.528
YCL009C	0.854
YIR026C	2.719
YGR034W	1.417
YNL158W	NaN
YCR073W-A	0.137
YKR066C	0.184
YER068W	-2.065
YAL034W-A	NaN
YHR108W	0.073
YEL028W	0.467
YNL327W	0.118
YIR039C	0.053
YIL028W	-1.144
YCR051W	2.469
YDR018C	-0.091
YOR337W	-0.001
YJR056C	-0.001
YNL175C	1.775
YKL197C	0.355
YDR368W	1.405
YDR454C	NaN
YML084W	-1.626
YGR072W	0.019
YLR335W	0.080
YDR147W	1.067
YPL171C	-0.503
YKR093W	-3.745
YML033W	-0.116
YBL101C	-1.115
YBR214W	-0.003
YPR036W	NaN
YIL155C	-0.112
YJR026W	0.082
YPL127C	-0.202
YMR187C	1.494
YHR039C	0.013
YLR170C	-0.964
YLL020C	-0.397
YEL029C	4.137
YOL104C	0.116
YNL334C	-0.529
YPL184C	-3.058
YOR348C	0.048
YHR154W	-11.333
YOR135C	0.155
YML112W	2.347
YCR027C	-0.064
YML073C	2.955
YNL069C	2.381
YDR120C	0.925
YMR294W-A	1.330
YJL178C	0.003
YLR276C	NaN
YKR040C	-0.230
YGR241C	-0.469
YMR104C	-0.844
YLR142W	-0.053
YPL011C	NaN
YIL076W	1.057
YDR307W	-0.555
YDL038C	-0.321
YHR130C	0.019
YMR102C	1.727
YCR088W	0.810
YOL087C	0.044
YHR179W	-1.711
YGR152C	-0.006
YKL078W	NaN
YPL162C	1.355
YGR057C	0.772
YFR057W	-2.598
YCR099C	0.043
YBR076W	-1.264
YBL027W	0.648
YLR307W	0.000
YMR326C	-0.150
YGR124W	0.415
YKR054C	-0.313
YGR076C	0.074
YEL004W	-0.654
YBR037C	0.015
YMR063W	-2.558
YNL288W	1.389
YGL229C	2.624
YLR347C	NaN
YGL034C	-1.527
YJL169W	-1.817
YOR216C	0.121
